,Date,Flight name,Source,Destination,Departure_time,Arrival_time,Duration,No of stop,Price
0,2022-11-03,IndiGo,Bengaluru,Kolkata,17:30,22:05,4h 35m,1,7579
1,2022-11-03,IndiGo,Bengaluru,Kolkata,23:40,04:50,5h 10m,1,7579
2,2022-11-03,IndiGo,Bengaluru,Kolkata,18:00,23:15,5h 15m,1,7579
3,2022-11-03,IndiGo,Bengaluru,Kolkata,19:15,02:05,6h 50m,1,7579
4,2022-11-03,IndiGo,Bengaluru,Kolkata,15:35,22:55,7h 20m,1,7579
5,2022-11-03,IndiGo,Bengaluru,Kolkata,16:25,22:05,5h 40m,1,7926
6,2022-11-03,Go First,Bengaluru,Kolkata,22:00,07:45,9h 45m,1,8419
7,2022-11-03,SpiceJet,Bengaluru,Kolkata,19:30,22:10,2h 40m,Non,8419
8,2022-11-03,IndiGo,Bengaluru,Kolkata,23:30,01:55,2h 25m,Non,8419
9,2022-11-03,IndiGo,Bengaluru,Kolkata,22:00,00:25,2h 25m,Non,8419
10,2022-11-03,IndiGo,Bengaluru,Kolkata,16:15,18:50,2h 35m,Non,8419
11,2022-11-03,IndiGo,Bengaluru,Kolkata,20:15,22:55,2h 40m,Non,8419
12,2022-11-03,Air Asia,Bengaluru,Kolkata,17:40,20:10,2h 30m,Non,8419
13,2022-11-03,Air Asia,Bengaluru,Kolkata,18:55,21:30,2h 35m,Non,8419
14,2022-11-03,IndiGo,Bengaluru,Kolkata,19:25,01:05,5h 40m,1,8477
15,2022-11-03,IndiGo,Bengaluru,Kolkata,18:00,01:05,7h 5m,1,8477
16,2022-11-03,IndiGo,Bengaluru,Kolkata,14:00,16:35,2h 35m,Non,8944
17,2022-11-03,IndiGo,Bengaluru,Kolkata,18:10,23:55,5h 45m,1,10027
18,2022-11-03,IndiGo,Bengaluru,Kolkata,17:25,22:25,5h,1,10272
19,2022-11-03,IndiGo,Bengaluru,Kolkata,14:40,20:30,5h 50m,1,10272
20,2022-11-03,IndiGo,Bengaluru,Kolkata,16:10,22:30,6h 20m,1,10272
21,2022-11-03,IndiGo,Bengaluru,Kolkata,22:10,04:50,6h 40m,1,11170
22,2022-11-03,Vistara,Bengaluru,Kolkata,21:10,08:20,11h 10m,1,12417
23,2022-11-03,Vistara,Bengaluru,Kolkata,19:40,08:20,12h 40m,1,12417
24,2022-11-03,Vistara,Bengaluru,Kolkata,18:45,08:20,13h 35m,1,12417
25,2022-11-03,Air India,Bengaluru,Kolkata,21:00,09:05,12h 5m,1,13020
26,2022-11-03,Air India,Bengaluru,Kolkata,19:15,09:05,13h 50m,1,13020
27,2022-11-03,Air India,Bengaluru,Kolkata,17:20,09:05,15h 45m,1,13020
28,2022-11-03,Air India,Bengaluru,Kolkata,21:00,19:00,22h,1,13020
29,2022-11-03,Air India,Bengaluru,Kolkata,19:15,19:00,23h 45m,1,13020
30,2022-11-03,Air India,Bengaluru,Kolkata,21:00,22:25,25h 25m,1,13020
31,2022-11-03,Air India,Bengaluru,Kolkata,17:20,19:00,25h 40m,1,13020
32,2022-11-03,Air India,Bengaluru,Kolkata,19:15,22:25,27h 10m,1,13020
33,2022-11-03,Air India,Bengaluru,Kolkata,13:15,22:25,9h 10m,1,13270
34,2022-11-03,Air India,Bengaluru,Kolkata,13:15,09:05,19h 50m,1,13270
35,2022-11-03,IndiGo,Bengaluru,Kolkata,15:25,23:20,7h 55m,1,13796
36,2022-11-03,IndiGo,Bengaluru,Kolkata,16:20,22:00,5h 40m,1,15497
37,2022-11-03,IndiGo,Bengaluru,Kolkata,14:45,22:00,7h 15m,1,15667
38,2022-11-03,Vistara,Bengaluru,Kolkata,21:10,09:35,12h 25m,1,15843
39,2022-11-03,Vistara,Bengaluru,Kolkata,19:40,09:35,13h 55m,1,15843
40,2022-11-03,Vistara,Bengaluru,Kolkata,18:45,09:35,14h 50m,1,15843
41,2022-11-03,Vistara,Bengaluru,Kolkata,21:10,18:05,20h 55m,1,15843
42,2022-11-03,Vistara,Bengaluru,Kolkata,19:40,18:05,22h 25m,1,15843
43,2022-11-03,Vistara,Bengaluru,Kolkata,18:45,18:05,23h 20m,1,15843
44,2022-11-03,Vistara,Bengaluru,Kolkata,17:50,08:20,14h 30m,1,18363
45,2022-11-03,Vistara,Bengaluru,Kolkata,17:50,09:35,15h 45m,1,19833
46,2022-11-03,Vistara,Bengaluru,Kolkata,17:50,18:05,24h 15m,1,19833
47,2022-11-03,Vistara,Bengaluru,Kolkata,19:55,16:50,20h 55m,1,21649
48,2022-11-03,Vistara,Bengaluru,Kolkata,19:00,16:50,21h 50m,1,21649
49,2022-11-03,Vistara,Bengaluru,Kolkata,21:10,19:35,22h 25m,1,23613
50,2022-11-03,Vistara,Bengaluru,Kolkata,19:40,19:35,23h 55m,1,23613
51,2022-11-03,Vistara,Bengaluru,Kolkata,18:45,19:35,24h 50m,1,23613
52,2022-11-03,Vistara,Bengaluru,Kolkata,21:35,16:50,19h 15m,1,23749
53,2022-11-03,IndiGo,Bengaluru,Kolkata,13:15,19:40,6h 25m,1,25219
54,2022-11-03,Air India,Bengaluru,Kolkata,21:20,08:50,11h 30m,1,25503
55,2022-11-03,Air India,Bengaluru,Kolkata,19:15,08:50,13h 35m,1,25503
56,2022-11-03,IndiGo,Bengaluru,Kolkata,13:00,19:55,6h 55m,2,25587
57,2022-11-03,Vistara,Bengaluru,Kolkata,18:30,16:50,22h 20m,1,27109
58,2022-11-03,Vistara,Bengaluru,Kolkata,17:50,19:35,25h 45m,1,27603
59,2022-11-03,Go First,Bengaluru,Kolkata,19:20,08:20,13h,1,31065
60,2022-11-03,Air India,Bengaluru,Kolkata,21:20,23:50,26h 30m,1,33168
61,2022-11-03,Air India,Bengaluru,Kolkata,19:15,23:50,28h 35m,1,33168
62,2022-11-04,IndiGo,Bengaluru,Kolkata,16:25,22:05,5h 40m,1,7101
63,2022-11-04,IndiGo,Bengaluru,Kolkata,17:30,22:05,4h 35m,1,7579
64,2022-11-04,IndiGo,Bengaluru,Kolkata,23:40,04:50,5h 10m,1,7579
65,2022-11-04,IndiGo,Bengaluru,Kolkata,18:00,23:15,5h 15m,1,7579
66,2022-11-04,IndiGo,Bengaluru,Kolkata,10:20,15:40,5h 20m,1,7579
67,2022-11-04,IndiGo,Bengaluru,Kolkata,07:25,13:10,5h 45m,1,7579
68,2022-11-04,IndiGo,Bengaluru,Kolkata,16:10,22:30,6h 20m,1,7579
69,2022-11-04,IndiGo,Bengaluru,Kolkata,09:00,15:25,6h 25m,1,7579
70,2022-11-04,IndiGo,Bengaluru,Kolkata,15:35,22:55,7h 20m,1,7579
71,2022-11-04,IndiGo,Bengaluru,Kolkata,12:40,20:05,7h 25m,1,7579
72,2022-11-04,IndiGo,Bengaluru,Kolkata,06:25,13:55,7h 30m,1,7579
73,2022-11-04,IndiGo,Bengaluru,Kolkata,05:15,13:10,7h 55m,1,7579
74,2022-11-04,IndiGo,Bengaluru,Kolkata,18:00,02:05,8h 5m,1,7579
75,2022-11-04,Go First,Bengaluru,Kolkata,11:35,14:05,2h 30m,Non,8419
76,2022-11-04,Go First,Bengaluru,Kolkata,22:00,08:00,10h,1,8419
77,2022-11-04,Go First,Bengaluru,Kolkata,21:50,09:40,11h 50m,1,8419
78,2022-11-04,Go First,Bengaluru,Kolkata,17:45,09:40,15h 55m,1,8419
79,2022-11-04,SpiceJet,Bengaluru,Kolkata,19:30,22:10,2h 40m,Non,8419
80,2022-11-04,IndiGo,Bengaluru,Kolkata,22:00,00:25,2h 25m,Non,8419
81,2022-11-04,IndiGo,Bengaluru,Kolkata,23:30,01:55,2h 25m,Non,8419
82,2022-11-04,IndiGo,Bengaluru,Kolkata,12:10,14:40,2h 30m,Non,8419
83,2022-11-04,IndiGo,Bengaluru,Kolkata,16:15,18:50,2h 35m,Non,8419
84,2022-11-04,IndiGo,Bengaluru,Kolkata,14:00,16:35,2h 35m,Non,8419
85,2022-11-04,IndiGo,Bengaluru,Kolkata,20:15,22:55,2h 40m,Non,8419
86,2022-11-04,IndiGo,Bengaluru,Kolkata,02:45,08:25,5h 40m,1,8477
87,2022-11-04,IndiGo,Bengaluru,Kolkata,06:10,11:50,5h 40m,1,8477
88,2022-11-04,IndiGo,Bengaluru,Kolkata,19:15,02:05,6h 50m,1,8477
89,2022-11-04,IndiGo,Bengaluru,Kolkata,18:00,01:05,7h 5m,1,8477
90,2022-11-04,IndiGo,Bengaluru,Kolkata,11:35,19:40,8h 5m,1,8477
91,2022-11-04,IndiGo,Bengaluru,Kolkata,17:25,22:25,5h,1,9375
92,2022-11-04,IndiGo,Bengaluru,Kolkata,18:10,23:55,5h 45m,1,9375
93,2022-11-04,IndiGo,Bengaluru,Kolkata,09:25,15:55,6h 30m,1,9375
94,2022-11-04,IndiGo,Bengaluru,Kolkata,06:45,09:20,2h 35m,Non,9469
95,2022-11-04,IndiGo,Bengaluru,Kolkata,19:25,01:05,5h 40m,1,10272
96,2022-11-04,IndiGo,Bengaluru,Kolkata,14:40,20:30,5h 50m,1,11170
97,2022-11-04,IndiGo,Bengaluru,Kolkata,22:10,04:50,6h 40m,1,11727
98,2022-11-04,IndiGo,Bengaluru,Kolkata,11:00,15:55,4h 55m,1,11879
99,2022-11-04,IndiGo,Bengaluru,Kolkata,15:25,23:20,7h 55m,1,12068
100,2022-11-04,IndiGo,Bengaluru,Kolkata,16:50,23:20,6h 30m,1,12954
101,2022-11-04,IndiGo,Bengaluru,Kolkata,00:30,08:25,7h 55m,1,12966
102,2022-11-04,Air India,Bengaluru,Kolkata,13:15,19:00,5h 45m,1,13020
103,2022-11-04,Air India,Bengaluru,Kolkata,11:15,19:00,7h 45m,1,13020
104,2022-11-04,Air India,Bengaluru,Kolkata,13:15,22:25,9h 10m,1,13020
105,2022-11-04,Air India,Bengaluru,Kolkata,11:15,22:25,11h 10m,1,13020
106,2022-11-04,Air India,Bengaluru,Kolkata,21:00,09:05,12h 5m,1,13020
107,2022-11-04,Air India,Bengaluru,Kolkata,05:45,19:00,13h 15m,1,13020
108,2022-11-04,Air India,Bengaluru,Kolkata,19:15,09:05,13h 50m,1,13020
109,2022-11-04,Air India,Bengaluru,Kolkata,17:10,09:05,15h 55m,1,13020
110,2022-11-04,Air India,Bengaluru,Kolkata,05:45,22:25,16h 40m,1,13020
111,2022-11-04,Air India,Bengaluru,Kolkata,13:15,09:05,19h 50m,1,13020
112,2022-11-04,Air India,Bengaluru,Kolkata,11:15,09:05,21h 50m,1,13020
113,2022-11-04,Air India,Bengaluru,Kolkata,21:00,22:25,25h 25m,1,13020
114,2022-11-04,Air India,Bengaluru,Kolkata,19:15,22:25,27h 10m,1,13020
115,2022-11-04,Air India,Bengaluru,Kolkata,05:45,09:05,27h 20m,1,13020
116,2022-11-04,Air India,Bengaluru,Kolkata,10:00,19:00,9h,1,13270
117,2022-11-04,Air India,Bengaluru,Kolkata,10:00,22:25,12h 25m,1,13270
118,2022-11-04,Air India,Bengaluru,Kolkata,10:00,09:05,23h 5m,1,13270
119,2022-11-04,Vistara,Bengaluru,Kolkata,11:30,08:20,20h 50m,1,13520
120,2022-11-04,Vistara,Bengaluru,Kolkata,09:45,08:20,22h 35m,1,13520
121,2022-11-04,Vistara,Bengaluru,Kolkata,08:00,08:20,24h 20m,1,13520
122,2022-11-04,Vistara,Bengaluru,Kolkata,07:00,08:20,25h 20m,1,13520
123,2022-11-04,IndiGo,Bengaluru,Kolkata,04:25,12:10,7h 45m,1,13863
124,2022-11-04,IndiGo,Bengaluru,Kolkata,09:50,17:40,7h 50m,1,13901
125,2022-11-04,IndiGo,Bengaluru,Kolkata,13:45,21:00,7h 15m,1,14529
126,2022-11-04,Vistara,Bengaluru,Kolkata,07:00,18:05,11h 5m,1,15003
127,2022-11-04,IndiGo,Bengaluru,Kolkata,06:00,12:40,6h 40m,1,15659
128,2022-11-04,Vistara,Bengaluru,Kolkata,11:30,18:05,6h 35m,1,15843
129,2022-11-04,Vistara,Bengaluru,Kolkata,08:00,18:05,10h 5m,1,15843
130,2022-11-04,Air India,Bengaluru,Kolkata,21:00,19:00,22h,1,16170
131,2022-11-04,Air India,Bengaluru,Kolkata,19:15,19:00,23h 45m,1,16170
132,2022-11-04,Air India,Bengaluru,Kolkata,17:10,19:00,25h 50m,1,16170
133,2022-11-04,Vistara,Bengaluru,Kolkata,09:45,18:05,8h 20m,1,16683
134,2022-11-04,IndiGo,Bengaluru,Kolkata,08:30,15:30,7h,1,16708
135,2022-11-04,Vistara,Bengaluru,Kolkata,09:40,16:50,7h 10m,1,18184
136,2022-11-04,Vistara,Bengaluru,Kolkata,06:40,16:50,10h 10m,1,19024
137,2022-11-04,Vistara,Bengaluru,Kolkata,18:45,08:20,13h 35m,1,19098
138,2022-11-04,Vistara,Bengaluru,Kolkata,07:00,22:45,15h 45m,1,19098
139,2022-11-04,IndiGo,Bengaluru,Kolkata,14:45,22:00,7h 15m,1,19193
140,2022-11-04,Vistara,Bengaluru,Kolkata,11:30,22:45,11h 15m,1,19938
141,2022-11-04,Vistara,Bengaluru,Kolkata,08:00,22:45,14h 45m,1,19938
142,2022-11-04,Vistara,Bengaluru,Kolkata,08:25,16:50,8h 25m,1,20074
143,2022-11-04,IndiGo,Bengaluru,Kolkata,16:20,22:00,5h 40m,1,20118
144,2022-11-04,Vistara,Bengaluru,Kolkata,09:45,22:45,13h,1,20778
145,2022-11-04,Vistara,Bengaluru,Kolkata,21:10,08:20,11h 10m,1,21723
146,2022-11-04,Vistara,Bengaluru,Kolkata,18:45,18:05,23h 20m,1,21828
147,2022-11-04,Vistara,Bengaluru,Kolkata,07:00,19:35,12h 35m,1,22773
148,2022-11-04,Vistara,Bengaluru,Kolkata,11:30,19:35,8h 5m,1,23613
149,2022-11-04,Vistara,Bengaluru,Kolkata,08:00,19:35,11h 35m,1,23613
150,2022-11-04,Vistara,Bengaluru,Kolkata,21:35,16:50,19h 15m,1,24589
151,2022-11-04,Vistara,Bengaluru,Kolkata,19:00,16:50,21h 50m,1,24589
152,2022-11-04,Vistara,Bengaluru,Kolkata,18:30,16:50,22h 20m,1,24589
153,2022-11-04,Go First,Bengaluru,Kolkata,06:30,16:15,9h 45m,1,24896
154,2022-11-04,Air India,Bengaluru,Kolkata,21:20,08:50,11h 30m,1,25503
155,2022-11-04,Air India,Bengaluru,Kolkata,19:15,08:50,13h 35m,1,25503
156,2022-11-04,Air India,Bengaluru,Kolkata,09:15,08:50,23h 35m,1,25503
157,2022-11-04,Air India,Bengaluru,Kolkata,06:40,08:50,26h 10m,1,25503
158,2022-11-04,Vistara,Bengaluru,Kolkata,19:55,16:50,20h 55m,1,26689
159,2022-11-04,Go First,Bengaluru,Kolkata,19:10,08:20,13h 10m,1,26865
160,2022-11-04,Vistara,Bengaluru,Kolkata,11:40,19:35,7h 55m,2,32674
161,2022-11-04,Air India,Bengaluru,Kolkata,09:15,23:50,14h 35m,1,33168
162,2022-11-04,Air India,Bengaluru,Kolkata,06:40,23:50,17h 10m,1,33168
163,2022-12-05,IndiGo,Bengaluru,Kolkata,12:20,17:00,4h 40m,1,6214
164,2022-12-05,IndiGo,Bengaluru,Kolkata,17:25,22:25,5h,1,6214
165,2022-12-05,IndiGo,Bengaluru,Kolkata,18:00,23:15,5h 15m,1,6214
166,2022-12-05,IndiGo,Bengaluru,Kolkata,02:45,08:25,5h 40m,1,6214
167,2022-12-05,IndiGo,Bengaluru,Kolkata,18:10,23:55,5h 45m,1,6214
168,2022-12-05,IndiGo,Bengaluru,Kolkata,06:45,12:55,6h 10m,1,6214
169,2022-12-05,IndiGo,Bengaluru,Kolkata,16:10,22:30,6h 20m,1,6214
170,2022-12-05,IndiGo,Bengaluru,Kolkata,13:15,19:40,6h 25m,1,6214
171,2022-12-05,IndiGo,Bengaluru,Kolkata,09:00,15:25,6h 25m,1,6214
172,2022-12-05,IndiGo,Bengaluru,Kolkata,04:25,12:10,7h 45m,1,6214
173,2022-12-05,IndiGo,Bengaluru,Kolkata,00:30,08:25,7h 55m,1,6214
174,2022-12-05,IndiGo,Bengaluru,Kolkata,06:50,14:50,8h,1,6214
175,2022-12-05,IndiGo,Bengaluru,Kolkata,17:15,01:25,8h 10m,1,6214
176,2022-12-05,Air Asia,Bengaluru,Kolkata,16:35,21:05,4h 30m,1,6215
177,2022-12-05,Air Asia,Bengaluru,Kolkata,20:55,02:30,5h 35m,1,6215
178,2022-12-05,Air Asia,Bengaluru,Kolkata,06:50,12:30,5h 40m,1,6215
179,2022-12-05,Air Asia,Bengaluru,Kolkata,06:50,15:35,8h 45m,1,6215
180,2022-12-05,Air Asia,Bengaluru,Kolkata,11:55,21:05,9h 10m,1,6215
181,2022-12-05,Air Asia,Bengaluru,Kolkata,12:45,02:30,13h 45m,1,6215
182,2022-12-05,Air Asia,Bengaluru,Kolkata,06:50,21:05,14h 15m,1,6215
183,2022-12-05,IndiGo,Bengaluru,Kolkata,23:50,07:25,7h 35m,1,7180
184,2022-12-05,Air Asia,Bengaluru,Kolkata,05:10,07:25,2h 15m,Non,7261
185,2022-12-05,Air Asia,Bengaluru,Kolkata,22:25,00:50,2h 25m,Non,7261
186,2022-12-05,Air Asia,Bengaluru,Kolkata,17:40,20:10,2h 30m,Non,7261
187,2022-12-05,Go First,Bengaluru,Kolkata,06:30,16:15,9h 45m,1,7263
188,2022-12-05,Go First,Bengaluru,Kolkata,22:00,08:00,10h,1,7263
189,2022-12-05,Go First,Bengaluru,Kolkata,18:45,08:20,13h 35m,1,7263
190,2022-12-05,SpiceJet,Bengaluru,Kolkata,10:25,19:15,8h 50m,1,7263
191,2022-12-05,IndiGo,Bengaluru,Kolkata,23:30,01:55,2h 25m,Non,7264
192,2022-12-05,IndiGo,Bengaluru,Kolkata,06:45,09:20,2h 35m,Non,7264
193,2022-12-05,IndiGo,Bengaluru,Kolkata,20:15,22:55,2h 40m,Non,7264
194,2022-12-05,Air Asia,Bengaluru,Kolkata,11:55,15:35,3h 40m,1,7265
195,2022-12-05,SpiceJet,Bengaluru,Kolkata,19:30,22:10,2h 40m,Non,7473
196,2022-12-05,Go First,Bengaluru,Kolkata,20:10,22:40,2h 30m,Non,7579
197,2022-12-05,IndiGo,Bengaluru,Kolkata,22:00,00:25,2h 25m,Non,7632
198,2022-12-05,IndiGo,Bengaluru,Kolkata,16:15,18:50,2h 35m,Non,7632
199,2022-12-05,IndiGo,Bengaluru,Kolkata,12:10,14:40,2h 30m,Non,7999
200,2022-12-05,IndiGo,Bengaluru,Kolkata,14:00,16:35,2h 35m,Non,7999
201,2022-12-05,IndiGo,Bengaluru,Kolkata,07:50,10:30,2h 40m,Non,7999
202,2022-12-05,Air Asia,Bengaluru,Kolkata,05:05,11:35,6h 30m,1,7999
203,2022-12-05,IndiGo,Bengaluru,Kolkata,01:40,08:10,6h 30m,1,8146
204,2022-12-05,IndiGo,Bengaluru,Kolkata,09:25,15:55,6h 30m,1,8146
205,2022-12-05,IndiGo,Bengaluru,Kolkata,18:00,01:05,7h 5m,1,8146
206,2022-12-05,IndiGo,Bengaluru,Kolkata,09:50,17:40,7h 50m,1,8146
207,2022-12-05,Air Asia,Bengaluru,Kolkata,07:40,13:00,5h 20m,1,8806
208,2022-12-05,IndiGo,Bengaluru,Kolkata,19:15,02:05,6h 50m,1,9112
209,2022-12-05,IndiGo,Bengaluru,Kolkata,09:00,16:40,7h 40m,1,9112
210,2022-12-05,IndiGo,Bengaluru,Kolkata,18:00,02:05,8h 5m,1,9112
211,2022-12-05,Air Asia,Bengaluru,Kolkata,12:45,21:05,8h 20m,2,9595
212,2022-12-05,Vistara,Bengaluru,Kolkata,21:40,09:40,12h,1,9735
213,2022-12-05,Vistara,Bengaluru,Kolkata,06:40,19:55,13h 15m,1,9735
214,2022-12-05,Vistara,Bengaluru,Kolkata,19:55,09:40,13h 45m,1,9735
215,2022-12-05,Vistara,Bengaluru,Kolkata,18:55,09:40,14h 45m,1,9735
216,2022-12-05,Vistara,Bengaluru,Kolkata,18:25,09:40,15h 15m,1,9735
217,2022-12-05,Vistara,Bengaluru,Kolkata,21:40,16:55,19h 15m,1,9735
218,2022-12-05,Vistara,Bengaluru,Kolkata,19:55,16:55,21h,1,9735
219,2022-12-05,Vistara,Bengaluru,Kolkata,18:55,16:55,22h,1,9735
220,2022-12-05,Vistara,Bengaluru,Kolkata,21:40,19:55,22h 15m,1,9735
221,2022-12-05,Vistara,Bengaluru,Kolkata,18:25,16:55,22h 30m,1,9735
222,2022-12-05,Vistara,Bengaluru,Kolkata,19:55,19:55,24h,1,9735
223,2022-12-05,Vistara,Bengaluru,Kolkata,18:55,19:55,25h,1,9735
224,2022-12-05,Vistara,Bengaluru,Kolkata,18:25,19:55,25h 30m,1,9735
225,2022-12-05,IndiGo,Bengaluru,Kolkata,14:40,20:30,5h 50m,1,10078
226,2022-12-05,IndiGo,Bengaluru,Kolkata,14:45,22:00,7h 15m,1,10078
227,2022-12-05,IndiGo,Bengaluru,Kolkata,12:40,20:05,7h 25m,1,10078
228,2022-12-05,Air India,Bengaluru,Kolkata,21:20,08:50,11h 30m,1,10383
229,2022-12-05,Air India,Bengaluru,Kolkata,19:15,08:50,13h 35m,1,10383
230,2022-12-05,Air India,Bengaluru,Kolkata,09:15,08:50,23h 35m,1,10383
231,2022-12-05,Air India,Bengaluru,Kolkata,06:40,08:50,26h 10m,1,10383
232,2022-12-05,Air India,Bengaluru,Kolkata,21:20,23:50,26h 30m,1,10383
233,2022-12-05,Air India,Bengaluru,Kolkata,19:15,23:50,28h 35m,1,10383
234,2022-12-05,Go First,Bengaluru,Kolkata,21:00,10:00,13h,1,10544
235,2022-12-05,Go First,Bengaluru,Kolkata,18:20,10:00,15h 40m,1,10544
236,2022-12-05,Vistara,Bengaluru,Kolkata,09:30,19:55,10h 25m,1,10580
237,2022-12-05,Vistara,Bengaluru,Kolkata,08:30,19:55,11h 25m,1,10580
238,2022-12-05,Air India,Bengaluru,Kolkata,09:15,23:50,14h 35m,1,10908
239,2022-12-05,Air India,Bengaluru,Kolkata,06:40,23:50,17h 10m,1,10908
240,2022-12-05,IndiGo,Bengaluru,Kolkata,06:00,12:40,6h 40m,1,10964
241,2022-12-05,IndiGo,Bengaluru,Kolkata,23:40,05:00,5h 20m,1,11044
242,2022-12-05,IndiGo,Bengaluru,Kolkata,07:25,13:10,5h 45m,1,11044
243,2022-12-05,IndiGo,Bengaluru,Kolkata,10:30,16:40,6h 10m,1,11044
244,2022-12-05,IndiGo,Bengaluru,Kolkata,07:00,14:30,7h 30m,1,11044
245,2022-12-05,Vistara,Bengaluru,Kolkata,21:10,18:05,20h 55m,1,11094
246,2022-12-05,Vistara,Bengaluru,Kolkata,19:40,18:05,22h 25m,1,11094
247,2022-12-05,Vistara,Bengaluru,Kolkata,18:45,18:05,23h 20m,1,11094
248,2022-12-05,Vistara,Bengaluru,Kolkata,09:30,16:55,7h 25m,1,11609
249,2022-12-05,Vistara,Bengaluru,Kolkata,08:30,16:55,8h 25m,1,11609
250,2022-12-05,Vistara,Bengaluru,Kolkata,06:40,16:55,10h 15m,1,11609
